_id;Chapter;Book;Page;Sentence;Tagged;Mapped;Lemma
60;Welcome;I;13;George: Ha!;[('George', 'NNP'), (':', ':'), ('Ha', 'NN'), ('!', '.')];{':': [':'], '!': ['!'], 'Ha': ['Ha'], 'George': ['George']};['George', ':', 'Ha', '!']
61;Welcome;I;13;Dogs are better than cats.;[('Dogs', 'NNS'), ('are', 'VBP'), ('better', 'JJR'), ('than', 'IN'), ('cats', 'NNS'), ('.', '.')];{'.': ['.'], 'are': ['are'], 'Dogs': ['Dogs'], 'than': ['than'], 'better': ['better'], 'cat': ['cats']};['Dogs', 'are', 'better', 'than', 'cat', '.']
62;Welcome;I;13;I can play football with my dog Patch!;[('I', 'PRP'), ('can', 'MD'), ('play', 'VB'), ('football', 'NN'), ('with', 'IN'), ('my', 'PRP$'), ('dog', 'NN'), ('Patch', 'NN'), ('!', '.')];{'can': ['can'], 'I': ['I'], '!': ['!'], 'football': ['football'], 'dog': ['dog'], 'play': ['play'], 'my': ['my'], 'with': ['with'], 'Patch': ['Patch']};['I', 'can', 'play', 'football', 'with', 'my', 'dog', 'Patch', '!']
63;Welcome;I;13;Cats can’t play football.;[('Cats', 'NNS'), ('can’t', 'VBP'), ('play', 'NN'), ('football', 'NN'), ('.', '.')];{'Cats': ['Cats'], 'play': ['play'], '.': ['.'], 'football': ['football'], 'can’t': ['can’t']};['Cats', 'can’t', 'play', 'football', '.']
64;Welcome;I;13;Caroline: Shut up, George!;[('Caroline', 'NN'), (':', ':'), ('Shut', 'NNP'), ('up', 'RP'), (',', ','), ('George', 'NNP'), ('!', '.')];{'Caroline': ['Caroline'], 'George': ['George'], 'up': ['up'], 'Shut': ['Shut'], ',': [','], ':': [':'], '!': ['!']};['Caroline', ':', 'Shut', 'up', ',', 'George', '!']
65;Welcome;I;13;Emma: I’m at Camden School for Girls.;[('Emma', 'NN'), (':', ':'), ('I’m', 'NN'), ('at', 'IN'), ('Camden', 'NNP'), ('School', 'NNP'), ('for', 'IN'), ('Girls', 'NNP'), ('.', '.')];{'for': ['for'], 'School': ['School'], '.': ['.'], 'Girls': ['Girls'], 'Camden': ['Camden'], 'I’m': ['I’m'], 'at': ['at'], ':': [':'], 'Emma': ['Emma']};['Emma', ':', 'I’m', 'at', 'Camden', 'School', 'for', 'Girls', '.']
66;Welcome;I;13;Caroline: Cool!;[('Caroline', 'NN'), (':', ':'), ('Cool', 'NN'), ('!', '.')];{'!': ['!'], ':': [':'], 'Caroline': ['Caroline'], 'Cool': ['Cool']};['Caroline', ':', 'Cool', '!']
67;Welcome;I;13;I’m at Camden School for Girls, too.;[('I’m', 'NNP'), ('at', 'IN'), ('Camden', 'NNP'), ('School', 'NNP'), ('for', 'IN'), ('Girls', 'NNP'), (',', ','), ('too', 'RB'), ('.', '.')];{'for': ['for'], 'School': ['School'], '.': ['.'], 'Girls': ['Girls'], 'Camden': ['Camden'], 'I’m': ['I’m'], 'at': ['at'], ',': [','], 'too': ['too']};['I’m', 'at', 'Camden', 'School', 'for', 'Girls', ',', 'too', '.']
68;Welcome;I;13;We can go to school together.;[('We', 'PRP'), ('can', 'MD'), ('go', 'VB'), ('to', 'TO'), ('school', 'NN'), ('together', 'RB'), ('.', '.')];{'school': ['school'], 'can': ['can'], 'to': ['to'], 'together': ['together'], 'go': ['go'], 'We': ['We'], '.': ['.']};['We', 'can', 'go', 'to', 'school', 'together', '.']
69;Welcome;I;13;Emma: What’s your school, George?;[('Emma', 'NN'), (':', ':'), ('What’s', 'VB'), ('your', 'PRP$'), ('school', 'NN'), (',', ','), ('George', 'NNP'), ('?', '.')];{'What’s': ['What’s'], 'George': ['George'], 'school': ['school'], ',': [','], ':': [':'], 'your': ['your'], 'Emma': ['Emma'], '?': ['?']};['Emma', ':', 'What’s', 'your', 'school', ',', 'George', '?']
